country_name,gdp_per_capita,electricity_access_pct,renewable_share_pct,energy_use_per_capita,urban_population_pct,country_code
Afghanistan,494.1793499,97.7,18.51,802.61255,25.7007352636188,AFG
Albania,5395.659532,100.0,41.9,11585.555,58.5463634043555,ALB
Algeria,3989.668276,99.5,0.16,16259.053,75.2792907190618,DZA
Angola,2809.626088,45.6428,54.69,3667.4238,70.6551379036435,AGO
Antigua and Barbuda,17376.64968,100.0,0.91,33027.516,24.3906919254799,ATG
Argentina,10056.63794,100.0,10.74,20725.168,92.2742315972952,ARG
Armenia,4604.646324,100.0,10.34,16179.096,65.8113671449901,ARM
Aruba,39498.5941293797,100.0,7.48,51107.844,61.7909396819594,ABW
Australia,54875.28596,100.0,10.13,66263.54,87.6021469990446,AUS
Austria,50114.40111,100.0,33.77,48314.258,69.4658181096788,AUT
Azerbaijan,4805.753718,100.0,1.62,17546.781,58.573795837717,AZE
Bahamas,6837.717826,100.0,1.14,39636.066,62.8876899795928,
Bahrain,23551.93009,100.0,0.0,155398.47,100.0,BHR
Bangladesh,1855.740094,92.2,24.75,2916.3176,32.6783196323307,BGD
Barbados,18148.49785,100.0,4.31,25172.027,59.5397032429174,BRB
Belarus,6837.717826,100.0,7.83,31923.436,79.1551015210848,BLR
Belgium,46591.49161,100.0,10.21,64152.26,87.6126557010527,BEL
Belize,5078.809944,92.72,29.09,9883.737,41.7532107338224,BLZ
Benin,1219.515506,40.32869,46.47,2416.162,52.5455354818423,BEN
Bermuda,117098.4463,100.0,0.84,50639.293,100.0,BMU
Bhutan,3322.863329,100.0,82.27,27251.602,42.5645249803412,BTN
Bosnia and Herzegovina,6119.762345,100.0,37.02,20694.338,52.1224302754935,BIH
Botswana,7203.064221,69.95974,25.57,9467.984,67.4623537838418,BWA
Brazil,8897.552966,99.8,47.57,16681.945,87.8958549533146,BRA
Bulgaria,9879.268533,100.0,19.34,29996.027,73.9499356882481,BGR
Burkina Faso,796.1152068,18.374855,64.85,946.95734,28.3352514896662,BFA
Burundi,228.2135892,11.356528,84.77,309.34055,24.8302838651025,BDI
Cambodia,1643.121389,84.0,53.36,4069.4607,40.8727033252729,KHM
Cameroon,1533.095688,63.48988,79.41,1720.2494,55.4031748609078,CMR
Canada,46338.34096,100.0,22.11,107980.76,82.7002565766633,CAN
Chad,709.5400432,8.4,77.79,458.18085,26.9315292389497,TCD
Chile,14741.7144,100.0,25.26,24894.514,88.9950908479196,CHL
China,10143.83817,100.0,14.45,28277.445,65.8946980998325,CHN
Colombia,6424.979492,99.75592,30.72,11221.787,78.5210811866115,COL
Comoros,1401.542312,84.297775,53.43,1685.7296,33.5392215673301,COM
Congo,6837.717826,48.407475,68.67,2873.82,62.8876899795928,
Costa Rica,12693.82796,99.71,35.76,13012.45,79.3107672397967,CRI
Croatia,15311.7669,100.0,31.6,23200.729,57.5158981711443,HRV
Cuba,9125.878679,99.8,21.54,9606.213,77.1664929228275,CUB
Cyprus,29206.07672,100.0,12.05,26442.418,66.6824259192483,CYP
Czechia,31823.3078290564,100.0,15.85,45355.285,72.7947984592185,CZE
Denmark,59775.7351,100.0,37.52,33139.277,88.6960552688405,DNK
Djibouti,3414.916178,61.21193,27.92,2848.7866,72.9052635052978,DJI
Dominica,8516.280039,100.0,8.05,11049.87,73.5449839980866,DMA
Dominican Republic,8282.117131,99.0,13.98,11098.332,72.4121874752151,DOM
Ecuador,6222.524653,99.09,17.73,12160.402,63.2376932397602,ECU
Egypt,6837.717826,100.0,5.3,9919.544,62.8876899795928,
El Salvador,4167.730939,97.36,19.39,7271.5205,75.0674905102199,SLV
Equatorial Guinea,8419.933336,66.600044,6.58,17644.693,71.3574028749806,GNQ
Eritrea,688.68165957684,50.936993,73.67,936.4785,34.5365524291992,ERI
Estonia,23397.12001,100.0,31.29,47295.336,70.6981161541961,EST
Eswatini,3915.643467,76.86944,65.95,5780.252,26.2498461258639,SWZ
Ethiopia,855.7608852,48.06359,88.92,921.99115,23.6222839355469,ETH
Fiji,6175.890653,99.71588,26.48,9417.632,59.0766602292457,FJI
Finland,48628.64176,100.0,45.76,59219.418,74.2637190463636,FIN
France,40578.64429,100.0,15.53,42326.785,78.7999750964116,FRA
Gabon,7766.996554,90.726295,89.88,7427.6616,91.8632094677575,GAB
