country_name,gdp_per_capita,electricity_access_pct,renewable_share_pct,energy_use_per_capita,urban_population_pct,country_code,log_gdp_per_capita,log_energy_use_per_capita,energy_pressure_index,infrastructure_score,readiness_score,readiness_label
Afghanistan,494.1793499,97.7,18.51,802.61255,25.7007352636188,AFG,6.204920019975855,6.68911725004133,0.0031,61.7004,40.16,Low
Albania,5395.659532,100.0,41.9,11585.555,58.5463634043555,ALB,8.593535435952049,9.357600653150394,0.0324,79.2732,63.5,High
Algeria,3989.668276,99.5,0.16,16259.053,75.2792907190618,DZA,8.291713983578704,9.696466642629083,0.078,87.3896,53.21,Low
Angola,2809.626088,45.6428,54.69,3667.4238,70.6551379036435,AGO,7.94116254462741,8.207517366505854,0.008,58.149,56.72,Medium
Antigua and Barbuda,17376.64968,100.0,0.91,33027.516,24.3906919254799,ATG,9.76294015837446,10.405126588522943,0.1573,62.1953,50.51,Low
Argentina,10056.63794,100.0,10.74,20725.168,92.2742315972952,ARG,9.216087618867848,9.939152335472192,0.0889,96.1371,63.33,High
Armenia,4604.646324,100.0,10.34,16179.096,65.8113671449901,ARM,8.435038291501046,9.691537123845809,0.0697,82.9057,55.14,Medium
Aruba,39498.5941293797,100.0,7.48,51107.844,61.7909396819594,ABW,10.584045675630843,10.84171283362354,0.2273,80.8955,61.66,High
Australia,54875.28596,100.0,10.13,66263.54,87.6021469990446,AUS,10.91283658445369,11.101410191466192,0.2863,93.8011,67.56,High
Austria,50114.40111,100.0,33.77,48314.258,69.4658181096788,AUT,10.822083647218216,10.785502690375688,0.1538,84.7329,72.16,High
Azerbaijan,4805.753718,100.0,1.62,17546.781,58.573795837717,AZE,8.477777232547751,9.77268278215352,0.083,79.2869,51.59,Low
Bahamas,6837.717826,100.0,1.14,39636.066,62.8876899795928,,8.830355540706028,10.587519969559288,0.1884,81.4438,52.33,Low
Bahrain,23551.93009,100.0,0.0,155398.47,100.0,BHR,10.06700551166258,11.953754306356458,0.747,100.0,56.08,Medium
Bangladesh,1855.740094,92.2,24.75,2916.3176,32.6783196323307,BGD,7.526577591406589,7.978419842926094,0.0105,62.4392,48.31,Low
